# Lean Kernel Arena, every test but mathlib. Exit codes: 0 accept, 1 reject, 2 decline, 3 error.
# arena leanprover/lean-kernel-arena @ 91f376e; exports lean4export 3.1.0 @ leanprover/lean4:v4.29.1.
# official = the arena's own checker at v4.34.0-rc2.  setlec-* = the run before the first rename (master 2664b1dd);
# con-leche-* = the re-run after it (master b7fa7331, task #180).  '-' = not run in that column.
test	expected	official	setlec_verified	setlec_trusted	conleche_verified	conleche_trusted	correctness
tutorial/024_levelMaxComm	accept	0	0	0	0	0	correct
tutorial/025_levelMaxAssoc	accept	0	0	0	0	0	correct
tutorial/026_levelMaxIdem	accept	0	0	0	0	0	correct
tutorial/027_levelMaxAbsorb	accept	0	0	0	0	0	correct
tutorial/028_inferVar	accept	0	0	0	0	0	correct
tutorial/029_defEqLambda	accept	0	0	0	0	0	correct
tutorial/030_peano1	accept	0	0	0	0	0	correct
tutorial/031_peano2	accept	0	0	0	0	0	correct
tutorial/032_peano3	accept	0	0	0	0	0	correct
tutorial/033_letType	accept	0	0	0	0	0	correct
tutorial/034_letTypeDep	accept	0	2	2	2	2	declined
tutorial/035_letRed	accept	0	2	2	2	2	declined
tutorial/036_empty	accept	0	0	0	0	0	correct
tutorial/037_boolType	accept	0	0	0	0	0	correct
tutorial/038_twoBool	accept	0	0	0	0	0	correct
tutorial/039_andType	accept	0	0	0	0	0	correct
tutorial/040_prodType	accept	0	0	0	0	0	correct
tutorial/041_pprodType	accept	0	0	0	0	0	correct
tutorial/042_pUnitType	accept	0	0	0	0	0	correct
tutorial/043_eqType	accept	0	0	0	0	0	correct
tutorial/044_natDef	accept	0	0	0	0	0	correct
tutorial/045_rbTreeDef	accept	0	0	0	0	0	correct
tutorial/046_inductBadNonSort	reject	1	1	1	1	1	correct
tutorial/047_inductBadNonSort2	reject	1	2	2	1	1	correct
tutorial/048_inductLevelParam	reject	1	1	1	1	1	correct
tutorial/049_inductTooFewParams	reject	1	2	2	1	1	correct
tutorial/050_inductWrongCtorParams	reject	1	2	2	1	1	correct
tutorial/051_inductWrongCtorResParams	reject	1	2	2	1	1	correct
tutorial/052_inductWrongCtorResLevel	reject	1	2	2	1	1	correct
tutorial/053_inductInIndex	reject	1	2	2	1	1	correct
tutorial/054_indNeg	reject	1	2	2	1	1	correct
tutorial/055_reduceCtorParam.mk	accept	0	0	0	0	0	correct
tutorial/056_reduceCtorType.mk	reject	1	2	2	1	1	correct
tutorial/057_indNegReducible	reject	1	2	2	1	1	correct
tutorial/058_predWithTypeField	accept	0	0	0	0	0	correct
tutorial/059_typeWithTypeField	accept	0	0	0	0	0	correct
tutorial/060_typeWithTypeFieldPoly	accept	0	0	0	0	0	correct
tutorial/061_typeWithTooHighTypeField.mk	reject	1	2	2	1	1	correct
tutorial/062_emptyRec	accept	0	0	0	0	0	correct
tutorial/063_boolRec	accept	0	0	0	0	0	correct
tutorial/064_twoBoolRec	accept	0	0	0	0	0	correct
tutorial/065_andRec	accept	0	0	0	0	0	correct
tutorial/066_prodRec	accept	0	0	0	0	0	correct
tutorial/067_pprodRec	accept	0	0	0	0	0	correct
tutorial/068_punitRec	accept	0	0	0	0	0	correct
tutorial/069_eqRec	accept	0	0	0	0	0	correct
tutorial/070_nRec	accept	0	0	0	0	0	correct
tutorial/071_rbTreeRef	accept	0	0	0	0	0	correct
tutorial/072_boolPropRec	accept	0	0	0	0	0	correct
tutorial/073_BogusRecursor	reject	1	2	2	3	3	error
tutorial/074_existsRec	accept	0	0	0	0	0	correct
tutorial/075_typeSingletonRecReduction	accept	0	0	0	0	0	correct
tutorial/076_sortElimPropRec	accept	0	0	0	0	0	correct
tutorial/077_sortElimProp2Rec	accept	0	0	0	0	0	correct
tutorial/078_boolRecEqns	accept	0	0	0	0	0	correct
tutorial/079_prodRecEqns	accept	0	0	0	0	0	correct
tutorial/080_nRecReduction	accept	0	0	0	0	0	correct
tutorial/081_listRecReduction	accept	0	0	0	0	0	correct
tutorial/082_RBTree.id_spec	accept	0	0	0	0	0	correct
tutorial/083_And.right	accept	0	0	0	0	0	correct
tutorial/084_Prod.snd	accept	0	0	0	0	0	correct
tutorial/085_PProd.snd	accept	0	0	0	0	0	correct
tutorial/086_PSigma.snd	accept	0	0	0	0	0	correct
tutorial/087_projOutOfRange	reject	1	1	1	1	1	correct
tutorial/088_projNotStruct	reject	1	2	2	2	2	declined
tutorial/089_projProp1	accept	0	0	0	0	0	correct
tutorial/090_projProp2	reject	1	1	1	1	1	correct
tutorial/091_projProp3	accept	0	0	0	0	0	correct
tutorial/092_projProp4	reject	1	1	1	1	1	correct
tutorial/093_projProp5	reject	1	1	1	1	1	correct
tutorial/094_projProp6	reject	1	1	1	1	1	correct
tutorial/095_projDataIndexRec	accept	0	0	0	0	0	correct
tutorial/096_projIndexData	reject	1	1	1	1	1	correct
tutorial/097_projIndexData2	reject	1	1	1	1	1	correct
tutorial/098_projRed	accept	0	0	0	0	0	correct
tutorial/099_ruleK	accept	0	0	0	0	0	correct
tutorial/100_ruleKbad	reject	1	1	1	1	1	correct
tutorial/101_ruleKAcc	reject	1	1	1	1	1	correct
tutorial/102_aNatLit	accept	0	0	0	0	0	correct
tutorial/103_natLitEq	accept	0	0	0	0	0	correct
tutorial/104_proofIrrelevance	accept	0	0	0	0	0	correct
tutorial/105_proofIrrelevanceBad	reject	1	1	1	1	1	correct
tutorial/106_proofIrrelevanceWhnf	accept	0	0	0	0	0	correct
tutorial/107_unitEta1	accept	0	0	0	0	0	correct
tutorial/108_unitEta2	accept	0	0	0	0	0	correct
tutorial/109_unitEta3	accept	0	0	0	0	0	correct
tutorial/110_indexedUnitEta	reject	1	1	1	1	1	correct
tutorial/111_structEta	accept	0	0	0	0	0	correct
tutorial/112_indexedStructEta	reject	1	1	1	1	1	correct
tutorial/113_funEta	accept	0	0	0	0	0	correct
tutorial/114_funEtaDep	accept	0	0	0	0	0	correct
tutorial/115_funEtaBad	reject	1	1	1	1	1	correct
tutorial/116_etaRuleK	reject	1	1	1	1	1	correct
tutorial/117_etaCtor	reject	1	1	1	1	1	correct
tutorial/118_reflOccLeft	reject	1	2	2	1	1	correct
tutorial/119_reflOccInIndex	reject	1	2	2	1	1	correct
tutorial/120_reduceCtorParamRefl.mk	accept	0	0	0	0	0	correct
tutorial/121_reduceCtorParamRefl2.mk	accept	0	0	0	0	0	correct
tutorial/122_rTreeRec	accept	0	0	0	0	0	correct
tutorial/123_rtreeRecReduction	accept	0	0	0	0	0	correct
tutorial/124_accRecType	accept	0	0	0	0	0	correct
tutorial/125_accRecReduction	accept	0	0	0	0	0	correct
tutorial/126_accRecNoEta	reject	1	1	1	1	1	correct
tutorial/127_quotMkType	accept	0	0	0	0	0	correct
tutorial/128_quotIndType	accept	0	0	0	0	0	correct
tutorial/129_quotLiftType	accept	0	0	0	0	0	correct
tutorial/130_quotSoundType	accept	0	0	0	0	0	correct
tutorial/131_quotLiftReduction	accept	0	0	0	0	0	correct
tutorial/132_quotIndReduction	accept	0	0	0	0	0	correct
tutorial/133_dup_defs	reject	1	1	1	1	1	correct
tutorial/134_dup_ind_def	reject	1	1	1	1	1	correct
tutorial/135_dup_ctor_def	reject	1	1	1	1	1	correct
tutorial/136_dup_rec_def	reject	1	1	1	1	1	correct
tutorial/137_misnamed_rec_user	reject	1	2	2	3	3	error
tutorial/138_dup_rec_def2	reject	1	2	2	1	1	correct
tutorial/139_dup_ctor_rec	reject	1	1	1	1	1	correct
tutorial/140_DupConCon	reject	1	2	2	1	1	correct
tutorial/141_falseFromUnsafe	reject	1	2	2	2	2	declined
tutorial/142_falseFromPartial	reject	1	2	2	2	2	declined
